ACL v0.4 @ 0.01.cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
9.925682,8.738853,4.640836
8.774929,8.442983,4.64135
8.792463,8.447614,4.645551
8.830276,8.75,4.645551
8.845491,8.76494,4.659606
9.042866,8.789954,4.665253
9.188544,8.789954,4.673748
9.322034,8.8,4.675167
9.47984,8.830276,4.682274
9.749921,8.830276,4.697987
9.96119,8.845491,4.697987
9.96119,8.850574,4.72103
13.402959,9.310761,5.225653
9.129904,8.697675,4.654222
9.204805,8.790151,4.662511
9.475493,8.849578,4.683363
10.106483,8.899716,4.762887
10.171928,9.250883,5.055681
10.171928,9.250883,5.055681
13.14752,9.272727,5.264075
9.092251,8.596887,4.67075
9.418406,8.596887,4.67075
9.418406,8.615385,4.678936
9.507866,8.838852,4.683041
9.622108,8.922563,4.683041
9.827274,8.927536,4.705053
9.827274,8.927536,4.866606
8.598367,8.392802,4.672009
9.571386,8.876563,4.689457
10.330011,8.876563,4.689457
10.330011,8.91048,4.709752
9.030541,8.90364,4.68639
9.480975,8.975715,4.691679
9.527138,8.985414,4.76016
9.784968,9.019523,4.8125
10.970976,9.460751,5.213793
8.3644,7.675578,4.693821
8.601168,8.534005,4.697726
8.632947,8.642858,4.701638
8.703918,8.832117,4.718663
8.944034,8.86911,4.734488
9.222812,8.958223,4.792079
9.222812,8.977213,4.805674
9.592299,9.266958,4.928717
9.919485,9.266958,4.928717
8.685887,8.641283,4.712568
8.685887,8.641283,4.712568
8.956511,8.96,4.716434
9.249497,8.983334,4.724185
10.689805,9.482133,5.23301
8.761572,8.957143,4.705441
8.768136,9.012321,4.709228
9.742508,9.016949,4.710491
10.52518,9.040165,4.788871
8.575063,8.301115,4.734694
8.925306,8.940941,4.751064
9.15633,8.994965,4.762464
9.438119,9.104995,4.772642
9.251369,8.951724,4.732292
9.430202,9.004955,4.739697
10.204689,9.058824,4.747127
10.204689,9.108772,4.862724
10.574338,9.182415,5.208369
11.163877,9.838657,5.413167
8.702614,8.721095,4.749422
9.032258,8.737589,4.749422
9.032258,9.014634,4.749422
9.212363,9.014634,4.749422
9.403384,9.054385,4.753087
9.42016,9.054385,4.753087
9.681729,9.063267,4.756757
9.681729,9.063267,4.764114
9.914163,9.067714,4.764114
10.360196,9.121422,4.781371
10.514936,9.121422,4.781371
10.514936,9.125926,4.8125
10.587224,9.125926,4.817518
10.747311,9.249249,4.838963
8.680065,8.618349,4.733686
8.680065,8.618349,4.743247
8.965879,8.654077,4.748042
9.144804,8.698148,4.748042
9.1526,8.702177,4.761277
9.1526,8.730483,4.7649
9.278025,8.730483,4.77095
9.555244,9.054458,4.797753
9.683289,9.085107,4.802659
9.718349,9.102714,4.811267
9.862467,9.124818,4.811267
10.184578,9.164878,4.818671
10.411748,9.26887,4.904202
11.143535,9.29179,4.92219
11.143535,9.488889,5.006128
11.273928,9.488889,5.006128
8.768683,9.003301,4.758535
10.061117,9.106342,4.76685
10.686066,9.123746,4.772807
11.017453,9.324219,4.981998
7.354178,8.635514,5.12114
8.792026,8.674117,5.12114
8.977099,8.674117,4.769911
9.263158,8.697445,4.769911
9.263158,8.697445,4.797033
9.756883,9.092784,4.797033
9.756883,9.097047,4.8125
9.756883,9.109859,4.8125
10.760571,9.109859,4.831673
10.760571,9.15283,4.831673
11.156533,9.479238,5.043931
11.156533,9.479238,5.043931
8.75797,8.706714,4.792609
