ACL v0.4 @ 0.01cm,UE 4.15 @ 0.1cm,UE 4.15 @ 0.01cm
9.092251,8.378523,4.682274
9.094488,8.379789,4.683041
9.122172,8.381991,4.683041
9.129904,8.383886,4.683363
9.133981,8.384932,4.68639
9.13507,8.385714,4.689457
9.144804,8.392802,4.689457
9.147099,8.39413,4.691679
9.1495,8.407655,4.693821
9.1526,8.407655,4.697726
9.1526,8.410631,4.697987
9.15633,8.412718,4.697987
9.156934,8.413513,4.701638
9.171831,8.417551,4.705053
9.175011,8.417551,4.705441
9.182448,8.418301,4.709228
9.188544,8.418301,4.709752
9.204805,8.421195,4.710491
9.212363,8.426517,4.712568
9.222812,8.427291,4.712568
9.222812,8.428735,4.716434
9.224252,8.43364,4.718663
9.227836,8.436045,4.72103
9.229268,8.436245,4.724185
9.24541,8.438356,4.724394
9.246437,8.442983,4.732292
9.249497,8.444415,4.733686
9.251369,8.444445,4.734488
9.251878,8.445361,4.734694
9.254695,8.447216,4.739697
9.263158,8.447614,4.743247
9.263158,8.448276,4.747127
9.263158,8.453759,4.747591
9.266383,8.455574,4.748042
9.278025,8.469769,4.748042
9.293103,8.470307,4.749422
9.296,8.470984,4.749422
9.298113,8.480447,4.749422
9.313643,8.480781,4.749422
9.31481,8.48312,4.751064
9.319213,8.486559,4.753087
9.322034,8.486559,4.753087
9.326268,8.489526,4.756757
9.327581,8.489579,4.758535
9.328403,8.497804,4.76016
9.337621,8.499343,4.761277
9.348087,8.50564,4.762464
9.350611,8.505966,4.762887
9.352167,8.507491,4.764114
9.353107,8.510096,4.764114
9.377991,8.513479,4.7649
9.381478,8.515008,4.76685
9.400039,8.518195,4.769911
9.403115,8.522523,4.769911
9.403384,8.524042,4.77095
9.406801,8.526976,4.772171
9.412318,8.530871,4.772642
9.418406,8.532433,4.772807
9.418406,8.532982,4.775194
9.42016,8.532982,4.781371
9.424912,8.533505,4.781371
9.424912,8.533505,4.786438
9.430202,8.533535,4.7866
9.438119,8.534005,4.786824
9.438324,8.537205,4.786824
9.450959,8.537205,4.788547
9.452446,8.537768,4.788547
9.452446,8.537768,4.788871
9.459753,8.538449,4.790103
9.463274,8.553248,4.792079
9.463274,8.560359,4.792609
9.471635,8.560359,4.796602
9.475493,8.560615,4.796602
9.477964,8.562819,4.797033
9.47984,8.562819,4.797033
9.480975,8.565681,4.797753
9.498734,8.566538,4.802659
9.50163,8.566624,4.804883
9.503322,8.566624,4.805674
9.507866,8.566888,4.806063
9.525773,8.568779,4.807135
9.525773,8.568779,4.808015
9.527138,8.574359,4.808081
9.538624,8.574359,4.809032
9.542498,8.576271,4.811251
9.542772,8.578616,4.811267
9.542772,8.580875,4.811267
9.54552,8.585423,4.811361
9.54552,8.586109,4.8125
9.547346,8.588845,4.8125
9.552941,8.593134,4.8125
9.555244,8.596887,4.8125
9.555678,8.596887,4.813168
9.557796,8.600805,4.814346
9.55965,8.603017,4.817518
9.563868,8.60501,4.817801
9.568147,8.605207,4.818014
9.571386,8.610538,4.818671
9.579642,8.610722,4.819047
9.582222,8.610722,4.820428
9.585532,8.612331,4.820428
9.587548,8.613145,4.821918
9.592299,8.613145,4.822187
9.597568,8.614673,4.823491
9.6,8.615385,4.82503
9.604797,8.615385,4.825856
9.611808,8.615385,4.825856
9.615478,8.616786,4.826641
9.619219,8.617432,4.826641
9.621823,8.618083,4.827135
9.622108,8.618349,4.827549
9.628499,8.618349,4.828439
9.628499,8.619883,4.830245
9.632634,8.62146,4.830245
9.638691,8.623389,4.831639
9.638691,8.624,4.831639
9.661956,8.624,4.831639
9.661956,8.624,4.831673
9.663894,8.627451,4.831673
9.668161,8.632516,4.833425
9.67742,8.635514,4.833425
9.681729,8.635649,4.833758
9.681729,8.635664,4.833803
9.683289,8.635664,4.833934
9.685534,8.63609,4.834792
9.697468,8.637105,4.836479
9.697468,8.637232,4.836524
9.705952,8.638725,4.836792
9.711172,8.641283,4.837077
9.718349,8.641283,4.837077
9.729401,8.642388,4.837462
9.732563,8.642858,4.837554
9.735538,8.644296,4.837697
9.735538,8.646288,4.837697
9.73913,8.654077,4.838848
9.741358,8.655405,4.838963
9.742508,8.659493,4.840305
9.749921,8.660147,4.841298
